row_id,step,type,branch,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,unusuallogin,acct_type,time_of_day,day_of_week,actual_fraud,predicted_fraud,fraud_probability
21,7,PAYMENT,Mexico,4800.76,0.0,0.0,0.0,0.0,19,Savings,Afternoon,5.0,0,0,9e-06
22,7,PAYMENT,Colombia,10156.0,0.0,0.0,0.0,0.0,4,Savings,Morning,4.0,0,0,9e-06
23,7,PAYMENT,Mexico,9414.48,0.0,0.0,0.0,0.0,15,Savings,Morning,3.0,0,0,6e-06
24,7,PAYMENT,Ecuador,2674.73,0.0,0.0,0.0,0.0,1,Savings,Morning,5.0,0,0,3.3e-05
25,7,PAYMENT,Mexico,1571.83,0.0,0.0,0.0,0.0,9,Savings,Night,7.0,0,0,1.4e-05
26,7,PAYMENT,Venezuela,1803.28,0.0,0.0,0.0,0.0,8,Savings,Night,6.0,0,0,7e-06
27,7,PAYMENT,Honduras,3633.39,0.0,0.0,0.0,0.0,12,Savings,Afternoon,6.0,0,0,1.1e-05
28,7,PAYMENT,Cuba,3169.16,0.0,0.0,0.0,0.0,10,Savings,Morning,7.0,0,0,1.8e-05
29,7,PAYMENT,Nicaragua,17036.48,0.0,0.0,0.0,0.0,2,Savings,Afternoon,2.0,0,0,9e-06
30,7,PAYMENT,El Salvador,27888.72,0.0,0.0,0.0,0.0,8,Savings,Afternoon,5.0,0,0,7e-06
31,7,PAYMENT,Bolivia,1847.37,0.0,0.0,0.0,0.0,3,Savings,Afternoon,5.0,0,0,1.3e-05
32,7,PAYMENT,Australia,23513.69,0.0,0.0,0.0,0.0,2,Savings,Night,3.0,0,0,8e-06
33,7,PAYMENT,Espana,10476.7,0.0,0.0,0.0,0.0,17,Savings,Morning,7.0,0,0,2.1e-05
34,7,PAYMENT,Francia,8987.61,0.0,0.0,0.0,0.0,19,Savings,Afternoon,6.0,0,0,1.3e-05
35,7,PAYMENT,Francia,35532.03,0.0,0.0,0.0,0.0,5,Savings,Morning,2.0,0,0,3e-06
36,7,PAYMENT,Argentina,41749.41,0.0,0.0,0.0,0.0,2,Savings,Night,2.0,0,0,9e-06
37,7,PAYMENT,Cuba,1561.11,0.0,0.0,0.0,0.0,11,Savings,Night,5.0,0,0,1.1e-05
38,7,PAYMENT,Mexico,12443.21,0.0,0.0,0.0,0.0,11,Savings,Afternoon,3.0,0,0,9e-06
39,7,PAYMENT,Brasil,3727.23,0.0,0.0,0.0,0.0,15,Savings,Afternoon,5.0,0,0,1.3e-05
40,7,PAYMENT,Peru,10.48,0.0,0.0,0.0,0.0,17,Savings,Afternoon,7.0,0,0,1.5e-05
41,7,PAYMENT,Mexico,7670.1,0.0,0.0,0.0,0.0,3,Savings,Morning,5.0,0,0,5e-06
42,7,PAYMENT,Indonesia,4079.46,0.0,0.0,0.0,0.0,6,Savings,Night,7.0,0,0,1.9e-05
43,7,PAYMENT,Malasia,14851.49,0.0,0.0,0.0,0.0,14,Savings,Morning,4.0,0,0,8e-06
44,7,PAYMENT,Francia,219.68,0.0,0.0,0.0,0.0,15,Savings,Morning,5.0,0,0,6e-06
45,7,PAYMENT,Alemania,3431.74,0.0,0.0,0.0,0.0,15,Savings,Night,4.0,0,0,1.4e-05
46,7,PAYMENT,Reino Unido,21230.26,0.0,0.0,0.0,0.0,5,Savings,Afternoon,5.0,0,0,5e-06
47,7,PAYMENT,Alemania,11496.9,0.0,0.0,0.0,0.0,17,Savings,Morning,2.0,0,0,1e-05
48,7,PAYMENT,Francia,15883.71,0.0,0.0,0.0,0.0,2,Savings,Morning,4.0,0,0,9e-06
49,7,PAYMENT,Alemania,22295.62,0.0,0.0,0.0,0.0,6,Savings,Night,6.0,0,0,9e-06
50,7,PAYMENT,Reino Unido,68824.38,0.0,0.0,0.0,0.0,7,Savings,Morning,2.0,0,0,6e-06
51,7,PAYMENT,Reino Unido,13303.29,0.0,0.0,0.0,0.0,13,Savings,Morning,5.0,0,0,5e-06
52,7,PAYMENT,Reino Unido,6770.2,0.0,0.0,0.0,0.0,8,Savings,Afternoon,5.0,0,0,9e-06
53,7,PAYMENT,Alemania,17014.53,0.0,0.0,0.0,0.0,12,Savings,Afternoon,7.0,0,0,2.3e-05
54,7,PAYMENT,Alemania,14260.56,0.0,0.0,0.0,0.0,10,Savings,Morning,6.0,0,0,9e-06
55,7,PAYMENT,Italia,5189.73,0.0,0.0,0.0,0.0,10,Savings,Night,6.0,0,0,1e-05
56,7,PAYMENT,Espana,6913.23,0.0,0.0,0.0,0.0,3,Savings,Night,1.0,0,0,9e-06
57,7,PAYMENT,Espana,3846.9,0.0,0.0,0.0,0.0,20,Savings,Afternoon,2.0,0,0,1.6e-05
58,7,PAYMENT,Alemania,19050.04,0.0,0.0,0.0,0.0,20,Savings,Afternoon,4.0,0,0,1.3e-05
59,7,PAYMENT,Italia,1838.56,0.0,0.0,0.0,0.0,19,Savings,Afternoon,6.0,0,0,1.3e-05
60,7,PAYMENT,Alemania,2418.83,0.0,0.0,0.0,0.0,20,Savings,Afternoon,6.0,0,0,1.9e-05
61,7,PAYMENT,Francia,1194.12,0.0,0.0,0.0,0.0,4,Savings,Afternoon,1.0,0,0,1.1e-05
62,7,PAYMENT,Reino Unido,1820.34,0.0,0.0,0.0,0.0,12,Savings,Morning,4.0,0,0,7e-06
63,7,PAYMENT,Reino Unido,14440.44,0.0,0.0,0.0,0.0,19,Savings,Night,5.0,0,0,8e-06
64,7,PAYMENT,Espana,18745.74,0.0,0.0,0.0,0.0,12,Savings,Morning,4.0,0,0,8e-06
65,7,PAYMENT,Austria,12489.85,0.0,0.0,0.0,0.0,10,Savings,Morning,3.0,0,0,8e-06
66,7,PAYMENT,Rusia,13337.69,0.0,0.0,0.0,0.0,8,Savings,Afternoon,6.0,0,0,1e-05
67,7,PAYMENT,Cuba,4732.59,0.0,0.0,0.0,0.0,11,Savings,Afternoon,3.0,0,0,1.4e-05
68,7,PAYMENT,Mexico,5803.86,0.0,0.0,0.0,0.0,14,Savings,Afternoon,5.0,0,0,7e-06
69,7,PAYMENT,Brasil,44835.22,0.0,0.0,0.0,0.0,2,Savings,Morning,7.0,0,0,6e-06
70,7,PAYMENT,Mexico,13854.48,0.0,0.0,0.0,0.0,5,Savings,Morning,6.0,0,0,5e-06
71,7,PAYMENT,Mexico,16782.56,0.0,0.0,0.0,0.0,1,Savings,Night,6.0,0,0,2.6e-05
72,7,PAYMENT,Brasil,27007.74,0.0,0.0,0.0,0.0,11,Savings,Morning,1.0,0,0,4e-06
73,7,PAYMENT,Cuba,16525.68,0.0,0.0,0.0,0.0,13,Savings,Night,3.0,0,0,1.1e-05
74,7,PAYMENT,Mexico,14815.88,0.0,0.0,0.0,0.0,12,Savings,Night,4.0,0,0,9e-06
75,7,PAYMENT,Honduras,973.96,0.0,0.0,0.0,0.0,15,Savings,Afternoon,6.0,0,0,1.1e-05
76,7,PAYMENT,Republica Dominicana,1283.84,0.0,0.0,0.0,0.0,19,Savings,Afternoon,3.0,0,0,1.1e-05
77,7,PAYMENT,Guatemala,3421.25,0.0,0.0,0.0,0.0,4,Savings,Afternoon,5.0,0,0,1.1e-05
78,7,PAYMENT,Brasil,4063.65,0.0,0.0,0.0,0.0,3,Savings,Afternoon,7.0,0,0,1.5e-05
79,7,PAYMENT,Republica Dominicana,809.43,0.0,0.0,0.0,0.0,11,Savings,Afternoon,6.0,0,0,8e-06
80,7,PAYMENT,Brasil,323.16,0.0,0.0,0.0,0.0,14,Savings,Afternoon,6.0,0,0,1.6e-05
81,7,PAYMENT,Republica Dominicana,5728.21,0.0,0.0,0.0,0.0,1,Savings,Afternoon,1.0,0,0,5.1e-05
82,7,PAYMENT,India,6166.59,0.0,0.0,0.0,0.0,3,Savings,Morning,6.0,0,0,6e-06
83,7,PAYMENT,Indonesia,2944.03,0.0,0.0,0.0,0.0,16,Savings,Night,1.0,0,0,1e-05
84,7,PAYMENT,China,24936.23,0.0,0.0,0.0,0.0,12,Savings,Afternoon,2.0,0,0,9e-06
85,7,PAYMENT,Indonesia,2981.14,0.0,0.0,0.0,0.0,2,Savings,Morning,4.0,0,0,9e-06
86,7,PAYMENT,Nueva Zelanda,418.38,0.0,0.0,0.0,0.0,10,Savings,Afternoon,5.0,0,0,9e-06
87,7,PAYMENT,Australia,36617.58,0.0,0.0,0.0,0.0,1,Savings,Morning,4.0,0,0,1.8e-05
88,7,PAYMENT,Filipinas,10930.96,0.0,0.0,0.0,0.0,1,Savings,Night,3.0,0,0,3.9e-05
89,7,PAYMENT,Turquia,18039.3,0.0,0.0,0.0,0.0,14,Savings,Night,5.0,0,0,6e-06
90,7,PAYMENT,Australia,936.44,0.0,0.0,0.0,0.0,16,Savings,Afternoon,7.0,0,0,2.7e-05
91,7,PAYMENT,Australia,5078.28,0.0,0.0,0.0,0.0,10,Savings,Night,6.0,0,0,1.3e-05
92,7,PAYMENT,Myanmar (Birmania),5867.74,0.0,0.0,0.0,0.0,8,Savings,Night,4.0,0,0,8e-06
93,7,PAYMENT,Turquia,8251.07,0.0,0.0,0.0,0.0,14,Savings,Afternoon,6.0,0,0,8e-06
94,7,PAYMENT,Estados Unidos,7031.7,0.0,0.0,0.0,0.0,8,Savings,Morning,4.0,0,0,9e-06
95,7,PAYMENT,Estados Unidos,2638.93,0.0,0.0,0.0,0.0,3,Savings,Night,5.0,0,0,1e-05
96,7,PAYMENT,Estados Unidos,2669.69,0.0,0.0,0.0,0.0,17,Savings,Afternoon,7.0,0,0,2.4e-05
97,7,PAYMENT,Estados Unidos,16038.8,0.0,0.0,0.0,0.0,20,Savings,Morning,6.0,0,0,9e-06
98,7,PAYMENT,Estados Unidos,4300.78,0.0,0.0,0.0,0.0,4,Savings,Afternoon,3.0,0,0,1.4e-05
99,7,PAYMENT,Angola,5579.16,0.0,0.0,0.0,0.0,6,Savings,Afternoon,4.0,0,0,2e-05
100,7,PAYMENT,Alemania,30180.07,0.0,0.0,0.0,0.0,10,Savings,Afternoon,6.0,0,0,9e-06
101,7,PAYMENT,Polonia,9302.99,0.0,0.0,0.0,0.0,3,Savings,Morning,3.0,0,0,6e-06
102,7,PAYMENT,Alemania,11703.97,0.0,0.0,0.0,0.0,15,Savings,Morning,5.0,0,0,7e-06
103,7,PAYMENT,Francia,19608.07,0.0,0.0,0.0,0.0,2,Savings,Night,7.0,0,0,1.1e-05
104,7,PAYMENT,Suecia,5275.62,0.0,0.0,0.0,0.0,13,Savings,Night,6.0,0,0,7e-06
105,7,PAYMENT,Reino Unido,8809.29,0.0,0.0,0.0,0.0,12,Savings,Afternoon,6.0,0,0,8e-06
106,7,PAYMENT,Alemania,5698.67,0.0,0.0,0.0,0.0,16,Savings,Morning,1.0,0,0,1e-05
107,7,PAYMENT,Reino Unido,7037.51,0.0,0.0,0.0,0.0,12,Savings,Night,2.0,0,0,6e-06
108,7,PAYMENT,Reino Unido,6568.75,0.0,0.0,0.0,0.0,2,Savings,Afternoon,4.0,0,0,1.2e-05
109,7,PAYMENT,Austria,8372.5,0.0,0.0,0.0,0.0,15,Savings,Afternoon,6.0,0,0,1.6e-05
110,7,PAYMENT,Reino Unido,2641.37,0.0,0.0,0.0,0.0,5,Savings,Afternoon,5.0,0,0,9e-06
111,7,PAYMENT,Francia,3956.77,0.0,0.0,0.0,0.0,12,Savings,Afternoon,4.0,0,0,1.4e-05
112,7,PAYMENT,Honduras,3941.31,0.0,0.0,0.0,0.0,16,Savings,Morning,5.0,0,0,7e-06
113,7,PAYMENT,Colombia,7396.44,0.0,0.0,0.0,0.0,7,Savings,Morning,3.0,0,0,7e-06
114,7,PAYMENT,Cuba,5920.5,0.0,0.0,0.0,0.0,14,Savings,Morning,5.0,0,0,7e-06
115,7,PAYMENT,Honduras,2327.84,0.0,0.0,0.0,0.0,20,Savings,Afternoon,1.0,0,0,1.3e-05
116,7,PAYMENT,Haiti,1623.0,0.0,0.0,0.0,0.0,14,Savings,Afternoon,4.0,0,0,1.4e-05
117,7,PAYMENT,El Salvador,14279.36,0.0,0.0,0.0,0.0,3,Savings,Afternoon,4.0,0,0,1.6e-05
118,7,PAYMENT,Mexico,12687.23,0.0,0.0,0.0,0.0,8,Savings,Afternoon,3.0,0,0,1e-05
119,7,PAYMENT,El Salvador,267.33,0.0,0.0,0.0,0.0,11,Savings,Afternoon,5.0,0,0,1.3e-05
120,7,PAYMENT,Nicaragua,5672.99,0.0,0.0,0.0,0.0,4,Savings,Afternoon,7.0,0,0,1.4e-05
121,7,PAYMENT,Brasil,14978.23,0.0,0.0,0.0,0.0,15,Savings,Afternoon,6.0,0,0,1.6e-05
122,7,PAYMENT,El Salvador,14731.43,0.0,0.0,0.0,0.0,4,Savings,Night,1.0,0,0,1e-05
123,7,PAYMENT,Mexico,10236.7,0.0,0.0,0.0,0.0,11,Savings,Afternoon,2.0,0,0,8e-06
124,7,PAYMENT,El Salvador,3032.91,0.0,0.0,0.0,0.0,16,Savings,Afternoon,4.0,0,0,2e-05
125,7,PAYMENT,Cuba,14298.19,0.0,0.0,0.0,0.0,9,Savings,Afternoon,5.0,0,0,1.5e-05
126,7,PAYMENT,Mexico,3157.28,0.0,0.0,0.0,0.0,16,Savings,Morning,4.0,0,0,8e-06
127,7,PAYMENT,Mexico,21227.0,0.0,0.0,0.0,0.0,6,Savings,Morning,3.0,0,0,4e-06
128,7,PAYMENT,Honduras,2268.74,0.0,0.0,0.0,0.0,14,Savings,Night,5.0,0,0,9e-06
129,7,PAYMENT,Brasil,1417.84,0.0,0.0,0.0,0.0,12,Savings,Morning,7.0,0,0,1.8e-05
130,7,PAYMENT,Republica Dominicana,6454.56,0.0,0.0,0.0,0.0,9,Savings,Morning,6.0,0,0,5e-06
131,7,PAYMENT,Mexico,3442.37,0.0,0.0,0.0,0.0,5,Savings,Night,6.0,0,0,7e-06
132,7,PAYMENT,Brasil,7898.5,0.0,0.0,0.0,0.0,8,Savings,Afternoon,2.0,0,0,1.4e-05
133,7,PAYMENT,Republica Dominicana,6159.12,0.0,0.0,0.0,0.0,4,Savings,Night,4.0,0,0,9e-06
134,7,PAYMENT,Mexico,1784.87,0.0,0.0,0.0,0.0,15,Savings,Afternoon,6.0,0,0,8e-06
135,7,PAYMENT,Guatemala,19895.93,0.0,0.0,0.0,0.0,14,Savings,Afternoon,2.0,0,0,8e-06
136,7,PAYMENT,Honduras,11079.34,0.0,0.0,0.0,0.0,5,Savings,Afternoon,5.0,0,0,1.2e-05
137,7,PAYMENT,Panama,11527.48,0.0,0.0,0.0,0.0,10,Savings,Afternoon,5.0,0,0,9e-06
138,7,PAYMENT,Brasil,5783.05,0.0,0.0,0.0,0.0,6,Savings,Night,7.0,0,0,2.6e-05
139,7,PAYMENT,Honduras,11454.41,0.0,0.0,0.0,0.0,4,Savings,Night,6.0,0,0,1e-05
140,7,PAYMENT,Mexico,13117.45,0.0,0.0,0.0,0.0,13,Savings,Afternoon,6.0,0,0,8e-06
141,7,PAYMENT,Honduras,7663.31,0.0,0.0,0.0,0.0,6,Savings,Morning,1.0,0,0,6e-06
142,7,PAYMENT,Panama,1309.47,0.0,0.0,0.0,0.0,18,Savings,Afternoon,2.0,0,0,1e-05
143,7,PAYMENT,El Salvador,5680.34,0.0,0.0,0.0,0.0,13,Savings,Night,4.0,0,0,1.4e-05
144,7,PAYMENT,Brasil,1945.7,0.0,0.0,0.0,0.0,7,Savings,Afternoon,6.0,0,0,1.9e-05
145,7,PAYMENT,Nicaragua,1740.54,0.0,0.0,0.0,0.0,13,Savings,Morning,2.0,0,0,6e-06
146,7,PAYMENT,Mexico,3226.39,0.0,0.0,0.0,0.0,1,Savings,Morning,5.0,0,0,2.6e-05
147,7,PAYMENT,El Salvador,9854.52,0.0,0.0,0.0,0.0,13,Savings,Night,4.0,0,0,1.4e-05
148,7,PAYMENT,Cuba,2640.32,0.0,0.0,0.0,0.0,6,Savings,Morning,3.0,0,0,7e-06
149,7,PAYMENT,Cuba,3545.3,0.0,0.0,0.0,0.0,2,Savings,Night,7.0,0,0,1.6e-05
150,7,PAYMENT,Mexico,993.62,0.0,0.0,0.0,0.0,14,Savings,Morning,2.0,0,0,6e-06
151,7,PAYMENT,Argentina,2952.13,0.0,0.0,0.0,0.0,8,Savings,Morning,5.0,0,0,7e-06
152,7,PAYMENT,Colombia,17602.85,0.0,0.0,0.0,0.0,9,Savings,Morning,5.0,0,0,6e-06
153,7,PAYMENT,Guatemala,24285.62,0.0,0.0,0.0,0.0,2,Savings,Afternoon,7.0,0,0,7e-06
154,7,PAYMENT,Mexico,34057.28,0.0,0.0,0.0,0.0,1,Savings,Morning,6.0,0,0,1.1e-05
155,7,PAYMENT,Honduras,4139.79,0.0,0.0,0.0,0.0,2,Savings,Afternoon,2.0,0,0,1.3e-05
156,7,PAYMENT,El Salvador,10315.37,0.0,0.0,0.0,0.0,12,Savings,Morning,5.0,0,0,7e-06
157,7,PAYMENT,Mexico,6137.82,0.0,0.0,0.0,0.0,6,Savings,Night,3.0,0,0,6e-06
158,7,PAYMENT,Nicaragua,28016.57,0.0,0.0,0.0,0.0,11,Savings,Afternoon,7.0,0,0,6e-06
159,7,PAYMENT,Colombia,3451.03,0.0,0.0,0.0,0.0,5,Savings,Afternoon,6.0,0,0,1.9e-05
160,7,PAYMENT,Mexico,115.94,0.0,0.0,0.0,0.0,1,Savings,Afternoon,2.0,0,0,0.000129
161,7,PAYMENT,Brasil,13476.01,0.0,0.0,0.0,0.0,8,Savings,Night,3.0,0,0,1e-05
162,7,PAYMENT,Colombia,15743.57,0.0,0.0,0.0,0.0,2,Savings,Night,4.0,0,0,1.7e-05
163,7,PAYMENT,Australia,12840.44,0.0,0.0,0.0,0.0,9,Savings,Morning,5.0,0,0,7e-06
164,7,PAYMENT,India,8001.95,0.0,0.0,0.0,0.0,14,Savings,Afternoon,6.0,0,0,1.1e-05
165,7,PAYMENT,Australia,23139.47,0.0,0.0,0.0,0.0,10,Savings,Afternoon,1.0,0,0,8e-06
166,7,PAYMENT,Iran,3646.2,0.0,0.0,0.0,0.0,7,Savings,Morning,2.0,0,0,6e-06
167,7,PAYMENT,Turquia,33812.13,0.0,0.0,0.0,0.0,9,Savings,Night,3.0,0,0,5e-06
168,7,PAYMENT,Turquia,9103.52,0.0,0.0,0.0,0.0,7,Savings,Night,4.0,0,0,8e-06
169,7,PAYMENT,Filipinas,8019.57,0.0,0.0,0.0,0.0,10,Savings,Afternoon,6.0,0,0,1.5e-05
170,7,PAYMENT,Nueva Zelanda,8151.69,0.0,0.0,0.0,0.0,3,Savings,Afternoon,5.0,0,0,7e-06
171,7,PAYMENT,Arabia Saudi,17819.61,0.0,0.0,0.0,0.0,7,Savings,Afternoon,7.0,0,0,2.5e-05
172,7,PAYMENT,Australia,1016.98,0.0,0.0,0.0,0.0,17,Savings,Night,6.0,0,0,1.6e-05
173,7,PAYMENT,Australia,11918.74,0.0,0.0,0.0,0.0,20,Savings,Morning,5.0,0,0,9e-06
174,7,PAYMENT,Vietnam,10146.8,0.0,0.0,0.0,0.0,5,Savings,Night,7.0,0,0,1.4e-05
175,7,PAYMENT,Irak,20293.35,0.0,0.0,0.0,0.0,5,Savings,Morning,6.0,0,0,6e-06
176,7,PAYMENT,Turquia,9511.21,0.0,0.0,0.0,0.0,17,Savings,Afternoon,6.0,0,0,1e-05
177,7,PAYMENT,Turkmenistan,39554.82,0.0,0.0,0.0,0.0,8,Savings,Morning,1.0,0,0,4e-06
178,7,PAYMENT,Iran,12724.43,0.0,0.0,0.0,0.0,2,Savings,Night,3.0,0,0,1.1e-05
179,7,PAYMENT,Filipinas,1213.01,0.0,0.0,0.0,0.0,5,Savings,Morning,5.0,0,0,6e-06
180,7,PAYMENT,Australia,1089.75,0.0,0.0,0.0,0.0,7,Savings,Night,6.0,0,0,1.3e-05
181,7,PAYMENT,Australia,20001.6,0.0,0.0,0.0,0.0,10,Savings,Night,2.0,0,0,9e-06
182,7,PAYMENT,Banglades,3639.28,0.0,0.0,0.0,0.0,3,Savings,Afternoon,5.0,0,0,1.3e-05
183,7,PAYMENT,Irak,1969.13,0.0,0.0,0.0,0.0,13,Savings,Morning,5.0,0,0,6e-06
184,7,PAYMENT,Singapur,6727.34,0.0,0.0,0.0,0.0,10,Savings,Morning,7.0,0,0,1.1e-05
185,7,PAYMENT,India,18372.81,0.0,0.0,0.0,0.0,20,Savings,Night,3.0,0,0,1e-05
186,7,PAYMENT,Indonesia,7261.64,0.0,0.0,0.0,0.0,11,Savings,Afternoon,7.0,0,0,1.6e-05
187,7,PAYMENT,Arabia Saudi,17283.98,0.0,0.0,0.0,0.0,1,Savings,Morning,5.0,0,0,2.2e-05
188,7,PAYMENT,Australia,13746.26,0.0,0.0,0.0,0.0,18,Savings,Night,5.0,0,0,1.3e-05
189,7,PAYMENT,China,12532.47,0.0,0.0,0.0,0.0,20,Savings,Morning,4.0,0,0,1.1e-05
190,7,PAYMENT,Estados Unidos,2067.57,0.0,0.0,0.0,0.0,3,Savings,Afternoon,5.0,0,0,1.2e-05
191,7,PAYMENT,Estados Unidos,276.2,0.0,0.0,0.0,0.0,16,Savings,Afternoon,3.0,0,0,1.6e-05
192,7,PAYMENT,Estados Unidos,24079.53,0.0,0.0,0.0,0.0,14,Savings,Night,7.0,0,0,1.6e-05
193,7,PAYMENT,Estados Unidos,29401.85,0.0,0.0,0.0,0.0,10,Savings,Afternoon,6.0,0,0,7e-06
194,7,PAYMENT,Estados Unidos,8935.7,0.0,0.0,0.0,0.0,12,Savings,Afternoon,2.0,0,0,1.3e-05
195,7,PAYMENT,Estados Unidos,6248.42,0.0,0.0,0.0,0.0,15,Savings,Night,3.0,0,0,1.1e-05
196,7,PAYMENT,Estados Unidos,12066.94,0.0,0.0,0.0,0.0,9,Savings,Afternoon,4.0,0,0,1.8e-05
197,7,PAYMENT,Estados Unidos,36977.71,0.0,0.0,0.0,0.0,20,Savings,Afternoon,5.0,0,0,9e-06
198,7,PAYMENT,Estados Unidos,2318.74,0.0,0.0,0.0,0.0,6,Savings,Night,2.0,0,0,9e-06
199,7,PAYMENT,Estados Unidos,11759.29,0.0,0.0,0.0,0.0,14,Savings,Afternoon,5.0,0,0,1.2e-05
200,7,PAYMENT,Estados Unidos,957.47,0.0,0.0,0.0,0.0,15,Savings,Afternoon,3.0,0,0,1.4e-05
201,7,PAYMENT,Estados Unidos,10310.58,0.0,0.0,0.0,0.0,8,Savings,Afternoon,5.0,0,0,1.4e-05
202,7,PAYMENT,Estados Unidos,7324.56,0.0,0.0,0.0,0.0,3,Savings,Night,7.0,0,0,1.1e-05
203,7,PAYMENT,Estados Unidos,13530.98,0.0,0.0,0.0,0.0,13,Savings,Morning,6.0,0,0,8e-06
204,7,PAYMENT,Canada,8072.47,0.0,0.0,0.0,0.0,11,Savings,Afternoon,6.0,0,0,1.6e-05
205,7,PAYMENT,Estados Unidos,4156.18,0.0,0.0,0.0,0.0,12,Savings,Morning,1.0,0,0,8e-06
206,7,PAYMENT,Estados Unidos,5933.77,0.0,0.0,0.0,0.0,16,Savings,Morning,2.0,0,0,1e-05
207,7,PAYMENT,Estados Unidos,3051.93,0.0,0.0,0.0,0.0,1,Savings,Morning,3.0,0,0,3.4e-05
208,7,PAYMENT,Estados Unidos,18152.45,0.0,0.0,0.0,0.0,4,Savings,Morning,5.0,0,0,6e-06
209,7,PAYMENT,Estados Unidos,11591.3,0.0,0.0,0.0,0.0,10,Savings,Morning,7.0,0,0,1.5e-05
210,7,PAYMENT,Estados Unidos,30772.28,0.0,0.0,0.0,0.0,7,Savings,Afternoon,6.0,0,0,7e-06
211,7,PAYMENT,Tanzania,13439.35,0.0,0.0,0.0,0.0,18,Savings,Morning,6.0,0,0,7e-06
212,7,PAYMENT,Republica Democratica del Congo,411.33,0.0,0.0,0.0,0.0,16,Savings,Afternoon,2.0,0,0,1e-05
213,7,PAYMENT,Zimbabue,14688.56,0.0,0.0,0.0,0.0,17,Savings,Afternoon,5.0,0,0,9e-06
214,7,PAYMENT,Republica Democratica del Congo,1770.69,0.0,0.0,0.0,0.0,2,Savings,Afternoon,4.0,0,0,1.2e-05
215,7,PAYMENT,Zambia,8471.49,0.0,0.0,0.0,0.0,1,Savings,Afternoon,5.0,0,0,7.1e-05
216,7,PAYMENT,Mozambique,34061.71,0.0,0.0,0.0,0.0,4,Savings,Night,7.0,0,0,9e-06
217,7,PAYMENT,Republica del Congo,10386.18,0.0,0.0,0.0,0.0,11,Savings,Night,6.0,0,0,7e-06
218,7,PAYMENT,SudAfrica,18068.4,0.0,0.0,0.0,0.0,4,Savings,Afternoon,6.0,0,0,7e-06
219,7,PAYMENT,SudAfrica,6185.97,0.0,0.0,0.0,0.0,14,Savings,Morning,1.0,0,0,6e-06
220,7,PAYMENT,SudAfrica,9665.85,0.0,0.0,0.0,0.0,5,Savings,Afternoon,3.0,0,0,1e-05
221,7,PAYMENT,Nigeria,17320.1,0.0,0.0,0.0,0.0,12,Savings,Morning,5.0,0,0,5e-06
