customer_id,n_transactions,total_amount,max_fraud_probability,confirmed_fraud,risk_score,risk_tier
C1603462635,1,1656720.92,0.011196,0,30.57,B
C743778731,1,335416.51,0.03562,0,30.56,B
C1168956689,1,341122.21,0.032133,0,30.4,B
C195163481,1,2604219.11,0.005967,0,30.34,B
C5112121,1,340936.73,0.026351,0,30.05,B
C1580741277,1,2241254.39,0.001113,0,30.03,B
C1861416877,1,2837270.65,0.00052,0,30.02,B
C1360289756,1,2943845.35,0.000189,0,30.01,B
C1326904973,1,2861134.92,2e-05,0,29.99,B
C1801561264,1,2511647.23,1.2e-05,0,29.98,B
C1864007931,1,2441078.3,2.5e-05,0,29.97,B
C12139181,1,2258388.15,5e-06,0,29.97,B
C248483913,1,2223005.62,5.5e-05,0,29.97,B
C1233563882,1,2222097.28,2.5e-05,0,29.96,B
C327840833,1,2107293.71,1.5e-05,0,29.96,B
C1369885738,1,2032275.62,1e-05,0,29.95,B
C921262971,1,2011670.91,2.3e-05,0,29.95,B
C2007599722,1,2061082.82,3.5e-05,0,29.95,B
C1650415378,1,2062692.94,1.6e-05,0,29.95,B
C136312946,1,1918461.7,8e-06,0,29.94,B
C457660003,1,1915470.93,8e-05,0,29.94,B
C53301881,1,1869161.56,1.4e-05,0,29.94,B
C316671934,1,1716502.82,0.000287,0,29.93,B
C355885103,1,1867849.02,6e-06,0,29.93,B
C14302379,1,1719356.16,1.3e-05,0,29.92,B
C505250106,1,1685701.48,2.3e-05,0,29.91,B
C1331353271,1,1658697.08,6e-06,0,29.91,B
C1115434134,1,1632164.9,2.7e-05,0,29.9,B
C1986550448,1,1626960.47,2.2e-05,0,29.89,B
C369749333,1,1571619.71,2.1e-05,0,29.89,B
C476579021,1,1538200.39,0.000159,0,29.89,B
C1234328865,1,1595612.93,1.1e-05,0,29.89,B
C482900198,1,1532087.16,2.7e-05,0,29.88,B
C1653980726,1,1315556.51,0.000625,0,29.87,B
C1941482284,1,1488547.68,1.8e-05,0,29.87,B
C1814062048,1,1277771.78,0.000839,0,29.87,B
C380394805,1,1487557.25,3.1e-05,0,29.87,B
C926859124,1,1505626.01,7e-06,0,29.87,B
C1071933072,1,276138.13,0.033025,0,29.86,B
C1469680626,1,1130828.97,0.001372,0,29.86,B
C1464177809,1,1478772.04,7e-06,0,29.86,B
C1660570248,1,1465989.27,5.6e-05,0,29.86,B
C1436127733,1,1465846.48,8.4e-05,0,29.86,B
C1150063356,1,1453126.81,1.7e-05,0,29.85,B
C1928312257,1,1417001.19,1.8e-05,0,29.85,B
C329929969,1,1394793.88,2.4e-05,0,29.84,B
C384119884,1,1390432.94,8e-06,0,29.84,B
C283492252,1,1339661.93,4e-05,0,29.84,B
C853175535,1,1322921.3,1.5e-05,0,29.83,B
C1053035032,1,1298848.87,0.000123,0,29.83,B
C1321115948,1,1193410.46,0.000366,0,29.82,B
C859156431,1,1097510.65,0.000845,0,29.82,B
C22179697,1,1231953.95,1.8e-05,0,29.81,B
C143641035,1,1223547.78,5.5e-05,0,29.81,B
C1444494461,1,1212719.61,4.4e-05,0,29.81,B
C1241189309,1,1232150.93,1.1e-05,0,29.81,B
C1337156396,1,1174905.93,2.6e-05,0,29.8,B
C1267504937,1,1197991.95,3e-06,0,29.8,B
C1585824283,1,1197188.79,0.000112,0,29.8,B
C1281894438,1,1174893.26,1.2e-05,0,29.79,B
C1526378110,1,1170389.4,1.7e-05,0,29.79,B
C1512273713,1,1147953.82,7e-06,0,29.78,B
C1822325490,1,1094308.58,0.000134,0,29.77,B
C87255309,1,1123213.77,4.5e-05,0,29.77,B
C967677821,1,1123206.66,2e-06,0,29.77,B
C1078783335,1,1032930.05,0.000169,0,29.76,B
C602529144,1,1095802.84,5.4e-05,0,29.76,B
C1565193331,1,1055284.91,5e-05,0,29.76,B
C1369314550,1,1067743.66,6.5e-05,0,29.76,B
C1912104290,1,1008022.35,2.2e-05,0,29.75,B
C208280546,1,1002954.19,6.4e-05,0,29.75,B
C47110095,1,997659.79,1.7e-05,0,29.74,B
C1246807878,1,979818.78,2.7e-05,0,29.73,B
C1049204172,1,941410.58,3.7e-05,0,29.72,B
C555943503,1,957339.52,3e-06,0,29.72,B
C1289454852,1,457194.09,0.010574,0,29.72,B
C1345525137,1,941502.27,1.9e-05,0,29.72,B
C1561005241,1,939018.7,9e-06,0,29.71,B
C1563053805,1,928722.69,1.9e-05,0,29.71,B
C306321254,1,921268.93,1e-05,0,29.7,B
C1021071701,1,913805.64,6.7e-05,0,29.7,B
C487523318,1,514977.05,0.007654,0,29.7,B
C1982708114,1,905112.26,2.6e-05,0,29.69,B
C1731137986,1,902505.61,4.1e-05,0,29.69,B
C2026873444,1,884591.4,2e-05,0,29.68,B
C971578330,1,875756.9,7.3e-05,0,29.68,B
C2016512706,1,861582.21,4e-05,0,29.67,B
C605686842,1,864389.49,2.5e-05,0,29.67,B
C1627993706,1,840288.07,0.000117,0,29.66,B
C1775601457,1,820399.29,0.000232,0,29.66,B
C654958709,1,817307.46,0.000408,0,29.66,B
C896134613,1,839300.36,5.4e-05,0,29.66,B
C1826083903,1,840886.94,1.9e-05,0,29.66,B
C852612805,1,833142.33,1.4e-05,0,29.65,B
C1543560717,1,822798.92,5.3e-05,0,29.65,B
C1583532569,1,831878.75,1e-05,0,29.65,B
C78646617,1,805550.98,1.5e-05,0,29.63,B
C1295011929,1,773026.68,0.00029,0,29.63,B
C883678948,1,789419.02,3e-06,0,29.62,B
C425232550,1,792727.79,2.4e-05,0,29.62,B
C242495499,1,793967.31,2.2e-05,0,29.62,B
C1237669315,1,761871.16,2.4e-05,0,29.61,B
C598722341,1,746177.2,0.000102,0,29.61,B
C482307698,1,764772.98,0.000117,0,29.61,B
C366916060,1,722161.86,0.000453,0,29.61,B
C812709279,1,767924.0,1.6e-05,0,29.61,B
C968373819,1,765639.59,7.1e-05,0,29.61,B
C1812723956,1,740455.48,4.8e-05,0,29.6,B
C751320808,1,731485.29,0.000111,0,29.59,B
C1968852725,1,710443.79,0.000235,0,29.58,B
C1226283307,1,717318.86,0.000137,0,29.58,B
C456897159,1,714579.59,1.5e-05,0,29.57,B
C912362299,1,713465.67,3.5e-05,0,29.57,B
C835773569,1,710544.77,5e-06,0,29.57,B
C115297013,1,708855.97,3.3e-05,0,29.57,B
C566974024,1,700223.91,3e-05,0,29.56,B
C1274740515,1,703911.36,3e-06,0,29.56,B
C1629454900,1,700967.19,8.6e-05,0,29.56,B
C187540389,1,305121.53,0.022211,0,29.55,B
C2043889470,1,696235.62,9.4e-05,0,29.55,B
C172299409,1,696979.11,4.9e-05,0,29.55,B
C679449777,1,699928.86,4e-06,0,29.55,B
C1556341915,1,673111.47,0.000255,0,29.55,B
C1514214932,1,691738.36,9e-06,0,29.54,B
C1177072083,1,682894.68,2.2e-05,0,29.54,B
C1259065345,1,692460.02,3.2e-05,0,29.54,B
C378814088,1,669936.4,7.8e-05,0,29.53,B
C345290829,1,668237.36,7e-06,0,29.52,B
C47491804,1,655143.29,1.4e-05,0,29.52,B
C1695157072,1,648692.12,3.1e-05,0,29.52,B
C684407333,1,637758.38,1.2e-05,0,29.51,B
C1229342812,1,641213.85,5.9e-05,0,29.51,B
C65080774,1,635507.97,1.9e-05,0,29.5,B
C1846982837,1,637161.0,4e-06,0,29.5,B
C86828392,1,636710.53,2.6e-05,0,29.5,B
C652803980,1,630132.72,2e-05,0,29.49,B
C283923004,1,616461.19,0.00016,0,29.48,B
C1188469924,1,611049.17,0.000424,0,29.48,B
C129012340,1,613468.52,6.2e-05,0,29.47,B
C155333444,1,617735.13,1.9e-05,0,29.47,B
C1648003357,1,611448.91,1.7e-05,0,29.46,B
C1267042315,1,607616.73,6e-06,0,29.45,B
C1442882168,1,604786.9,4e-05,0,29.45,B
C752011518,1,600581.61,1.6e-05,0,29.44,B
C1306429814,1,603258.56,5e-05,0,29.44,B
C1532850496,1,599428.2,1.5e-05,0,29.43,B
C577734751,1,598782.65,8e-06,0,29.43,B
C1272115420,1,598674.03,2.8e-05,0,29.43,B
C466032056,1,596617.87,3e-05,0,29.43,B
C1549005458,1,590182.14,0.000131,0,29.42,B
C1982072255,1,585796.59,6.6e-05,0,29.41,B
C1345611807,1,588327.76,1.1e-05,0,29.41,B
C307441207,1,587264.44,6.3e-05,0,29.41,B
C548454569,1,581780.99,0.000103,0,29.4,B
C752090153,1,566903.96,0.000604,0,29.4,B
C442627636,1,585116.33,3.9e-05,0,29.4,B
C843299092,1,581294.26,8e-06,0,29.39,B
C1297151618,1,578730.75,5.5e-05,0,29.39,B
C20084184,1,568912.68,0.000159,0,29.38,B
C396926129,1,570796.52,2e-05,0,29.37,B
C1817103570,1,569038.9,5.3e-05,0,29.37,B
C1726169577,1,566838.74,0.000152,0,29.37,B
C1144886446,1,566270.79,3.3e-05,0,29.36,B
C2060124480,1,564581.34,1.3e-05,0,29.36,B
C1566311673,1,564827.72,7e-05,0,29.36,B
C1140430871,1,564301.75,7.1e-05,0,29.36,B
C1060786847,1,560156.47,3.8e-05,0,29.35,B
C24039137,1,562903.81,3.1e-05,0,29.35,B
C881280045,1,546131.94,0.000601,0,29.35,B
C1218622610,1,558601.07,0.000116,0,29.35,B
C1046056441,1,556542.19,9e-06,0,29.34,B
C491712,1,556849.49,4.1e-05,0,29.34,B
C1603696865,1,554026.99,1.9e-05,0,29.34,B
C439751089,1,553290.0,1.5e-05,0,29.34,B
C1953044087,1,555921.6,2.6e-05,0,29.34,B
C1152380885,1,551607.7,6.1e-05,0,29.33,B
C1114525788,1,552812.46,3.5e-05,0,29.33,B
C915233792,1,549884.88,4.5e-05,0,29.33,B
C479078480,1,553080.97,2.7e-05,0,29.33,B
C2111302742,1,548556.51,1.8e-05,0,29.32,B
C2068103096,1,542616.63,0.000155,0,29.32,B
C832481686,1,547982.86,1.6e-05,0,29.32,B
C1404402130,1,543093.48,3.4e-05,0,29.31,B
C674480275,1,536060.03,0.000171,0,29.3,B
C191307226,1,533164.85,0.000184,0,29.3,B
C1210252371,1,528622.86,0.000114,0,29.29,B
C1255983489,1,529296.76,0.000115,0,29.29,B
C539322891,1,522854.73,0.000228,0,29.29,B
C905962412,1,528013.15,5.9e-05,0,29.28,B
C1772106148,1,498910.36,0.001177,0,29.28,B
C895062568,1,521813.61,3.2e-05,0,29.27,B
C71599579,1,521438.17,4.4e-05,0,29.27,B
C1927963027,1,522264.81,5e-06,0,29.27,B
C954742840,1,521678.46,1.3e-05,0,29.27,B
C1418310135,1,521278.47,1.9e-05,0,29.26,B
C275139645,1,519071.69,4.1e-05,0,29.26,B
C1342613143,1,518041.64,0.000127,0,29.26,B
C945213643,1,517419.65,2.6e-05,0,29.25,B
C853251323,1,515061.08,5e-06,0,29.25,B
C605683311,1,515305.42,6.2e-05,0,29.25,B
C388802347,1,517915.91,6.2e-05,0,29.25,B
C255964413,1,514750.17,4e-06,0,29.24,B
C880564001,1,511779.03,7.2e-05,0,29.24,B
C1275626728,1,512866.85,5e-06,0,29.24,B
C2027499247,1,507775.58,9e-06,0,29.23,B
C728370857,1,507138.3,5.8e-05,0,29.23,B
C1617300769,1,506721.82,2.6e-05,0,29.23,B
C585027490,1,499343.04,2.7e-05,0,29.22,B
C2101666759,1,502571.35,1.7e-05,0,29.22,B
C1640612861,1,503333.79,1.2e-05,0,29.22,B
C1957078537,1,498960.91,4e-06,0,29.21,B
C1089958197,1,497735.31,8.8e-05,0,29.21,B
C1789552525,1,498990.17,2.9e-05,0,29.21,B
C651676429,1,495294.14,2.6e-05,0,29.2,B
C963268074,1,496460.1,4.2e-05,0,29.2,B
C5255258,1,494972.01,1e-06,0,29.2,B
C711310213,1,497424.19,7e-06,0,29.2,B
C656844049,1,489529.12,0.000182,0,29.19,B
C1500321780,1,491920.0,5.3e-05,0,29.19,B
C242408359,1,490341.11,0.000106,0,29.19,B
C846570623,1,488338.66,5.6e-05,0,29.18,B
C1374688565,1,482855.36,0.000138,0,29.17,B
C593447952,1,483544.3,6e-06,0,29.16,B
C1053273441,1,484328.78,2.9e-05,0,29.16,B
C266737868,1,480586.86,1.3e-05,0,29.15,B
C1584060492,1,452835.39,0.001501,0,29.15,B
C201677908,1,480222.51,3.2e-05,0,29.15,B
C756222660,1,473991.14,0.000119,0,29.14,B
C1111947524,1,474349.67,1.3e-05,0,29.14,B
C752676335,1,476710.9,1.8e-05,0,29.14,B
C1193841543,1,472385.25,0.000297,0,29.14,B
C423629474,1,455933.21,0.000747,0,29.13,B
C801822521,1,468052.79,0.000143,0,29.12,B
C962339310,1,469688.29,2.5e-05,0,29.12,B
C565678786,1,472132.78,3.8e-05,0,29.12,B
C964449255,1,467481.03,1.3e-05,0,29.11,B
C1955587357,1,462688.96,0.00015,0,29.11,B
C1338905451,1,467177.03,1.8e-05,0,29.11,B
C1734184086,1,463722.76,1e-06,0,29.11,B
C1017502292,1,462312.19,0.000128,0,29.11,B
C1592712032,1,457552.45,7.8e-05,0,29.1,B
C707992390,1,457363.51,0.00015,0,29.1,B
C2062929510,1,462678.47,2.2e-05,0,29.1,B
C172499664,1,461511.97,4.4e-05,0,29.1,B
C292568264,1,457008.04,4.3e-05,0,29.09,B
C388165089,1,457456.67,1.4e-05,0,29.09,B
C1138657523,1,455846.84,8.7e-05,0,29.08,B
C1125098735,1,455440.65,4.9e-05,0,29.08,B
C1509506488,1,452478.54,0.000179,0,29.07,B
C1935350482,1,453605.59,1.5e-05,0,29.07,B
C1539591544,1,391868.6,0.00458,0,29.07,B
C2001164060,1,444533.15,0.000382,0,29.06,B
C752686443,1,451568.12,1.5e-05,0,29.06,B
C1403780103,1,448593.63,1.3e-05,0,29.05,B
C639393055,1,440226.25,0.000553,0,29.05,B
C1520921298,1,445570.0,2.6e-05,0,29.05,B
C473170143,1,447478.26,2.1e-05,0,29.05,B
C547441493,1,445038.71,1.5e-05,0,29.04,B
C1014991909,1,444482.74,1.7e-05,0,29.04,B
C1788034018,1,443200.31,4.3e-05,0,29.03,B
C1924009991,1,442422.28,2e-05,0,29.03,B
C1605702850,1,441551.13,3.6e-05,0,29.02,B
C865660178,1,440165.52,4.7e-05,0,29.02,B
C1291627539,1,439939.28,0.000202,0,29.02,B
C2010466881,1,442131.61,1.5e-05,0,29.02,B
C494865616,1,439348.62,4.7e-05,0,29.01,B
C2041127543,1,439105.26,3.7e-05,0,29.01,B
C776178157,1,439543.98,8.5e-05,0,29.01,B
C1526090976,1,438969.05,5.5e-05,0,29.0,B
C1595866994,1,438047.1,7.5e-05,0,29.0,B
C81745089,1,436436.54,1.6e-05,0,28.99,B
C556094301,1,430990.31,0.000339,0,28.99,B
C1927960180,1,435704.21,1.6e-05,0,28.99,B
C672073246,1,429567.2,0.000405,0,28.99,B
C1687354037,1,419801.4,0.001133,0,28.99,B
C727497138,1,435589.96,3.2e-05,0,28.99,B
C998101363,1,429539.78,0.00023,0,28.98,B
C768795248,1,432168.02,0.000116,0,28.98,B
C1251496840,1,434599.15,1.6e-05,0,28.98,B
C244842574,1,435330.06,3e-06,0,28.98,B
C1719519917,1,422671.35,0.000538,0,28.97,B
C61395726,1,423159.63,0.000253,0,28.96,B
C1408974363,1,2102252.96,9.3e-05,0,28.96,B
C1638471954,1,428248.35,3.7e-05,0,28.96,B
C778806426,1,427823.47,9e-06,0,28.96,B
C1560339214,1,428331.88,8e-06,0,28.96,B
C1237743088,1,425986.84,0.000111,0,28.96,B
C1602167682,1,427175.03,8.2e-05,0,28.96,B
C2063332000,1,425052.43,3.7e-05,0,28.96,B
C1366722422,1,424141.36,3.1e-05,0,28.95,B
C474647699,1,423000.44,0.000142,0,28.95,B
C33951224,1,423234.24,5.7e-05,0,28.95,B
C1217741734,1,421555.71,0.000102,0,28.94,B
C742568993,1,422125.99,6e-06,0,28.94,B
C582300198,1,420532.33,5.9e-05,0,28.93,B
C1623105503,1,1737772.93,2.9e-05,0,28.92,B
C1919747202,1,419296.35,3.9e-05,0,28.92,B
C1756819670,1,418688.27,5.2e-05,0,28.92,B
C1361931872,1,336413.4,0.007987,0,28.92,B
C2049463320,1,1664987.6,2.2e-05,0,28.91,B
C1866632814,1,1657667.44,1.5e-05,0,28.91,B
C1139817507,1,415046.18,0.000104,0,28.91,B
C1200048933,1,411363.54,0.000397,0,28.9,B
C64605090,1,404491.79,0.000643,0,28.9,B
C37162128,1,414678.51,3.1e-05,0,28.9,B
C1503837905,1,412579.72,4.5e-05,0,28.89,B
C288663860,1,409358.66,0.000292,0,28.89,B
C1049202430,1,413692.19,1e-05,0,28.89,B
C1144653485,1,409664.42,0.000185,0,28.88,B
C1025979136,1,1379628.76,0.000722,0,28.88,B
C747909318,1,410211.27,4.1e-05,0,28.88,B
C645208036,1,411935.8,3.7e-05,0,28.88,B
C676665173,1,410821.56,0.000128,0,28.88,B
C684660636,1,412254.84,4e-06,0,28.88,B
C873769155,1,405429.47,5.4e-05,0,28.87,B
C348921692,1,405812.31,1e-05,0,28.87,B
C984412970,1,404167.6,6e-05,0,28.86,B
C83544669,1,398355.54,0.000483,0,28.86,B
C2104139102,1,403393.65,9.4e-05,0,28.86,B
C848097505,1,403418.39,5.6e-05,0,28.86,B
C592238700,1,404053.55,3.2e-05,0,28.86,B
C1649847375,1,1440296.14,3.4e-05,0,28.85,B
C2105634098,1,401672.66,1.3e-05,0,28.85,B
C715099463,1,401863.05,9e-06,0,28.85,B
C27796563,1,400444.34,0.000165,0,28.85,B
C430414283,1,402663.46,2.6e-05,0,28.85,B
C86914267,1,400589.96,4.8e-05,0,28.84,B
C156954340,1,400377.11,9.9e-05,0,28.84,B
C1766122814,1,398355.98,0.000149,0,28.84,B
C782193817,1,397407.29,8.7e-05,0,28.83,B
C1989495347,1,398354.37,6.9e-05,0,28.83,B
C390994841,1,396205.76,9.1e-05,0,28.82,B
C34782860,1,395368.45,9.4e-05,0,28.81,B
C800329289,1,396017.83,1.1e-05,0,28.81,B
C1623624827,1,392940.08,6e-05,0,28.8,B
C1500820019,1,392470.41,9.7e-05,0,28.8,B
C1731036016,1,391057.91,0.000316,0,28.8,B
C1283148337,1,391107.94,5.1e-05,0,28.79,B
C1252333507,1,351690.17,0.003833,0,28.79,B
C1899408794,1,387222.06,5.1e-05,0,28.78,B
C1566364176,1,390456.9,2.3e-05,0,28.78,B
C1892771928,1,385123.59,8.2e-05,0,28.77,B
C1625666472,1,385674.22,2.6e-05,0,28.77,B
C1373577787,1,386683.04,4e-06,0,28.77,B
C1490985125,1,379953.15,0.000633,0,28.77,B
C340789130,1,383736.31,8.8e-05,0,28.76,B
C102103410,1,383446.61,6.4e-05,0,28.76,B
C2022055326,1,370171.43,0.001458,0,28.76,B
C1492835531,1,383568.25,1e-05,0,28.76,B
C2040008077,1,381371.28,0.000203,0,28.76,B
C347808407,1,378703.81,0.000502,0,28.75,B
C1178953630,1,382513.35,4.1e-05,0,28.75,B
C1576936424,1,382001.01,2.8e-05,0,28.75,B
C939455271,1,380950.81,0.000167,0,28.75,B
C1391818342,1,381479.99,4.5e-05,0,28.75,B
C1717433286,1,380015.14,5.2e-05,0,28.74,B
C1622945931,1,381018.8,7.8e-05,0,28.74,B
C617107045,1,381343.16,1.8e-05,0,28.74,B
C1449772539,1,379856.23,4.2e-05,0,28.73,B
C1365575811,1,378896.52,4e-06,0,28.73,B
C863351064,1,378866.85,3.5e-05,0,28.73,B
C1502971166,1,378843.29,1.6e-05,0,28.72,B
C100708535,1,377287.8,5.6e-05,0,28.72,B
C873002645,1,376507.72,9e-06,0,28.71,B
C1013104188,1,376292.35,1.2e-05,0,28.71,B
C877918108,1,375736.37,1.1e-05,0,28.71,B
C1704512171,1,375306.09,0.000144,0,28.71,B
C1697201317,1,374031.59,0.000126,0,28.71,B
C2081421216,1,361748.99,0.001014,0,28.7,B
C1520491508,1,301298.69,0.008789,0,28.7,B
C1961718033,1,374378.57,1.7e-05,0,28.7,B
C753631393,1,177652.91,0.038654,0,28.7,B
C2096195291,1,372848.83,4.9e-05,0,28.69,B
C716949678,1,372942.88,0.0001,0,28.69,B
C254918854,1,373185.07,1.1e-05,0,28.69,B
C1644524251,1,368444.96,0.00034,0,28.69,B
C698325633,1,371574.2,1.9e-05,0,28.68,B
C810864083,1,370786.7,3.3e-05,0,28.68,B
C1037201686,1,369168.98,2.4e-05,0,28.67,B
C1023460014,1,367834.87,4.7e-05,0,28.67,B
C817490653,1,370751.08,8e-06,0,28.67,B
C542135392,1,356511.88,0.001154,0,28.67,B
C1299327689,1,365510.05,1.5e-05,0,28.65,B
C1895054149,1,365914.64,1.8e-05,0,28.65,B
C1100576285,1,362349.62,4.2e-05,0,28.64,B
C716972621,1,360997.83,4.6e-05,0,28.64,B
C243130253,1,363063.88,2.5e-05,0,28.64,B
C1303448479,1,359325.17,7.9e-05,0,28.63,B
C1594259443,1,360262.92,6.4e-05,0,28.63,B
C195970976,1,358124.44,1.1e-05,0,28.62,B
C1032560110,1,357932.51,6.5e-05,0,28.62,B
C843149630,1,357220.77,0.000192,0,28.62,B
C1584938872,1,357427.06,8e-06,0,28.61,B
C1758060579,1,744654.21,2.4e-05,0,28.6,B
C1051471498,1,354741.15,6.1e-05,0,28.59,B
C448739537,1,736383.61,1.6e-05,0,28.59,B
C1967496309,1,355500.25,1.9e-05,0,28.59,B
C481770130,1,355458.78,3.1e-05,0,28.59,B
C152848959,1,354832.51,1e-06,0,28.59,B
C420266910,1,675184.96,0.000776,0,28.58,B
C1670849676,1,351903.76,0.000251,0,28.58,B
C1383031847,1,352364.46,8.7e-05,0,28.58,B
C1446511153,1,289715.28,0.008516,0,28.58,B
C1583020257,1,353902.72,3.5e-05,0,28.58,B
C1163664780,1,351633.67,0.00014,0,28.57,B
C1256405521,1,352568.35,4e-06,0,28.57,B
C584580417,1,349779.04,6.5e-05,0,28.56,B
C164183318,1,351219.8,4e-06,0,28.56,B
C88573335,1,349084.96,1.9e-05,0,28.55,B
C928416421,1,349036.0,1e-05,0,28.54,B
C51362851,1,348231.98,7e-06,0,28.54,B
C1654300454,1,344337.25,0.00055,0,28.54,B
C907875994,1,342464.49,0.000751,0,28.53,B
C902654164,1,347391.16,0.000117,0,28.53,B
C1229143192,1,347969.28,8.4e-05,0,28.53,B
C706665172,1,348186.2,3e-06,0,28.53,B
C1789767826,1,346727.71,3.2e-05,0,28.52,B
C1616453147,1,345548.01,7.7e-05,0,28.52,B
C2021011079,1,344693.57,4e-06,0,28.51,B
C1071901619,1,334889.22,0.001412,0,28.51,B
C1852287168,1,344436.64,7.4e-05,0,28.51,B
C1200740612,1,643137.09,2.2e-05,0,28.51,B
C1006297128,1,344106.28,0.000135,0,28.51,B
C605705199,1,343189.13,0.000139,0,28.5,B
C684154003,1,343371.38,0.000126,0,28.5,B
C1278700356,1,343435.88,1.7e-05,0,28.5,B
C180949634,1,342249.43,9e-06,0,28.48,B
C1795102078,1,335362.53,0.001022,0,28.48,B
C528190809,1,341350.6,1.2e-05,0,28.48,B
C1398998658,1,341128.83,5.5e-05,0,28.48,B
C376017690,1,339163.04,0.000289,0,28.47,B
C1338734959,1,340150.56,2.5e-05,0,28.46,B
C726998651,1,337085.02,1.4e-05,0,28.45,B
C1253733911,1,337588.8,5e-06,0,28.45,B
C1518922937,1,336844.89,8.2e-05,0,28.45,B
C1244880808,1,336827.91,2.2e-05,0,28.44,B
C1538462491,1,335979.26,0.000144,0,28.44,B
C16736375,1,336237.38,4.1e-05,0,28.43,B
C2126940193,1,335389.99,4e-05,0,28.43,B
C742969054,1,334318.86,1.1e-05,0,28.42,B
C1700257002,1,595879.01,2.4e-05,0,28.42,B
C1966657510,1,326538.62,0.000921,0,28.41,B
C1824418025,1,333871.74,3e-05,0,28.41,B
C1052247420,1,330262.78,0.000255,0,28.4,B
C36594958,1,332258.01,1.5e-05,0,28.4,B
C1626529981,1,289326.88,0.005751,0,28.4,B
